,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Valor Fixo
988,2017,Classe 1,Diesel,Usados,8074400449,Mercedes-Benz,,Importado,204 cv,46 318 km,SUV / TT,Automática,Classe GLC,
989,2000,Classe 1,Gasolina,Usados,8064794373,Honda,,Nacional,105 cv,130 000 km,SUV / TT,Manual,,
990,2018,Classe 1,Diesel,Usados,8062061140,Mercedes-Benz,59-VU-74,Nacional,136 cv,25 000 km,SUV / TT,Automática,Classe GLA,Sim
991,2018,Classe 1,Diesel,Usados,8063342224,Mercedes-Benz,28-VO-96,Nacional,116 cv,13 446 km,Utilitário,Automática,Classe A,
992,2018,Classe 1,Diesel,Usados,8066567011,VW,,,150 cv,23 643 km,Carrinha,Automática,,
993,2018,Classe 1,Diesel,Usados,8046883839,BMW,,,116 cv,8 317 km,Utilitário,Manual,Série 1,Sim
994,2006,,Diesel,Usados,8059936905,Fiat,,Nacional,150 cv,149 000 km,Carrinha,Manual,,
995,2005,Classe 1,Gasolina,Usados,8055233297,Toyota,05-XS-12,Importado,78 cv,92 000 km,Sedan,Automática,,
996,2015,,Diesel,Usados,8047775137,Nissan,,,110 cv,156 000 km,SUV / TT,Manual,,Sim
997,2003,,Diesel,Usados,8060807039,Audi,,Nacional,130 cv,267 000 km,Sedan,Manual,,Sim
998,2017,Classe 1,Gasolina,Usados,8065746269,Opel,,Nacional,75 cv,68 132 km,Citadino,Manual,,
999,2017,Classe 1,Gasolina,Usados,8065746269,Opel,,Nacional,75 cv,68 132 km,Citadino,Manual,,
1000,2008,Classe 1,Diesel,Usados,8075728331,Ford,,Nacional,110 cv,249 427 km,Carrinha,Manual,,Sim
1001,2016,Classe 1,Gasolina,Usados,8075726543,Toyota,,Nacional,69 cv,30 400 km,Citadino,Manual,,
1002,2014,,Diesel,Usados,8075710174,SEAT,,,143 cv,121 000 km,Citadino,,,
1003,1992,,Gasolina,Usados,8072918274,Mercedes-Benz,,,107 cv,218 km,Sedan,,,
1004,2018,Classe 1,Diesel,Usados,8071216255,Porsche,,,258 cv,8 000 km,SUV / TT,Automática,,
1005,2019,Classe 1,Gasolina,Usados,8074401216,MINI,83ZB11,Nacional,231 cv,1 512 km,Utilitário,Automática,,Sim
1006,2015,Classe 1,Diesel,Usados,8061522010,Mercedes-Benz,,Importado,109 cv,55 000 km,Utilitário,Manual,Classe A,
1007,2015,Classe 1,Diesel,Usados,8073091872,Renault,,Importado,90 cv,147 000 km,Carrinha,,,Sim
1008,2016,Classe 1,Eléctrico,Usados,8070988465,Nissan,,,110 cv,29 966 km,Utilitário,Automática,,Sim
1009,2013,Classe 1,Diesel,Usados,8073201490,Opel,,,95 cv,121 890 km,Citadino,Manual,,Sim
1010,2019,Classe 1,Gasolina,Usados,8075727130,Nissan,,Nacional,140 cv,5 182 km,SUV / TT,Manual,,
1011,2008,Classe 2,Diesel,Usados,8052914668,BMW,,Nacional,286 cv,140 000 km,SUV / TT,Automática,Série X,
1012,2015,Classe 1,Diesel,Usados,8073091872,Renault,,Importado,90 cv,147 000 km,Carrinha,,,Sim
1013,2015,Classe 1,Diesel,Usados,8073032789,Peugeot,,,92 cv,118 000 km,Utilitário,Manual,,
1014,2016,,Diesel,Usados,8064208547,Mercedes-Benz,13-ZI-41,,110 cv,107 000 km,Sedan,Automática,Classe CLA,Sim
1015,2016,Classe 1,Diesel,Usados,8072877040,Peugeot,,,92 cv,89 km,Citadino,Manual,,
1016,2007,Classe 1,Diesel,Usados,8072486571,Renault,,Importado,105 cv,179 410 km,Carrinha,Manual,,Sim
1017,2011,,Diesel,Usados,8075727811,Audi,,Importado,105 cv,201 800 km,Utilitário,Manual,,
1018,2018,,Diesel,Usados,8061460009,Jaguar,,Nacional,180 cv,38 650 km,Sedan,Automática,,Sim
1019,1993,Classe 1,Gasolina,Usados,8072920841,Alfa Romeo,,,90 cv,101 000 km,Sedan,Manual,,
1020,2014,,Diesel,Usados,8072877743,Mercedes-Benz,,,90 cv,150 km,Monovolume,Manual,Classe B,
1021,2016,Classe 1,Diesel,Usados,8074378189,Renault,,,110 cv,130 000 km,Carrinha,Manual,,
1022,2019,Classe 1,Gasolina,Usados,8058479143,Mercedes-Benz,,Nacional,110 cv,9 490 km,Utilitário,Manual,Classe A,Sim
1023,2016,Classe 1,Eléctrico,Usados,8070988465,Nissan,,,110 cv,29 966 km,Utilitário,Automática,,Sim
1024,2015,,Diesel,Usados,8062632056,Mercedes-Benz,,,115 cv,110 000 km,SUV / TT,Manual,Classe GLA,
1025,2019,Classe 1,Gasolina,Usados,8058479143,Mercedes-Benz,,Nacional,110 cv,9 490 km,Utilitário,Manual,Classe A,Sim
1026,2001,,Diesel,Usados,8059095551,Ford,,Nacional,115 cv,258 000 km,Monovolume,Manual,,
1027,1973,Classe 1,Gasolina,Usados,8072918762,Mercedes-Benz,,,185 cv,300 km,Sedan,Manual,,
1028,2013,Classe 1,Gasolina,Usados,8069925927,Renault,,Nacional,90 cv,64 000 km,Citadino,Manual,,
1029,2014,Classe 1,Diesel,Usados,8074401955,VW,11-PF-20,Nacional,105 cv,118 000 km,Carrinha,Manual,,
1030,2012,,Diesel,Usados,8065839024,Porsche,,,250 cv,155 000 km,Sedan,Automática,,Sim
1031,2005,,Diesel,Usados,8075726369,Audi,,,140 cv,420 000 km,Utilitário,Manual,,
1032,2010,Classe 1,Diesel,Usados,8072924015,VW,,,105 cv,170 000 km,Utilitário,Manual,,
1033,2018,,Diesel,Usados,8073201343,Mercedes-Benz,38-VB-61,Nacional,109 cv,14 325 km,Carrinha,Automática,Classe CLA,
1034,2002,Classe 1,Diesel,Usados,8063507261,Audi,,,100 cv,236 000 km,Citadino,Manual,,
1035,2006,,Diesel,Usados,8068643155,VW,,Nacional,140 cv,219 000 km,Sedan,Manual,,
1036,2014,,Diesel,Usados,8001493162,Audi,,,110 cv,90 000 km,Sedan,Manual,,Sim
1037,2005,,Diesel,Usados,8061545727,Peugeot,,Nacional,110 cv,211 000 km,Carrinha,,,
1038,2016,Classe 1,Diesel,Usados,8072919027,VW,,,110 cv,160 000 km,Carrinha,Manual,,
1039,2016,,Diesel,Usados,8064208547,Mercedes-Benz,13-ZI-41,,110 cv,107 000 km,Sedan,Automática,Classe CLA,Sim
