,Ano de Registo,Classe do veículo,Combustível,Condição,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
791,2018,Classe 1,Diesel,Usados,Ford,120 cv,33 508 km,Utilitário,Manual,,,,Nacional
792,2017,,Diesel,Usados,Jaguar,180 cv,27 000 km,SUV / TT,,,,,
793,2015,,Diesel,Usados,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
794,2018,,Gasolina,Usados,VW,75 cv,30 810 km,Citadino,Manual,Sim,,,Nacional
795,2017,Classe 1,Eléctrico,Usados,Renault,92 cv,13 469 km,Pequeno citadino,Automática,Sim,,,
796,2019,,Diesel,Usados,Peugeot,100 cv,1 km,SUV / TT,Manual,Sim,,,Nacional
797,2014,Classe 1,Eléctrico,Usados,Renault,88 cv,62 000 km,Pequeno citadino,Automática,Sim,,,
798,2013,,Eléctrico,Usados,Renault,88 cv,37 800 km,Pequeno citadino,Automática,Sim,,,
799,2019,Classe 1,Diesel,Usados,Peugeot,130 cv,2 474 km,Carrinha,Manual,Sim,,,
800,2015,Classe 1,Diesel,Usados,Volvo,115 cv,76 857 km,Utilitário,Manual,Sim,,,
801,2018,,Eléctrico,Usados,Renault,88 cv,5 541 km,Pequeno citadino,Automática,Sim,,,
802,2018,,Eléctrico,Usados,Renault,88 cv,7 378 km,Pequeno citadino,Automática,Sim,,,
803,2019,Classe 1,Gasolina,Usados,Fiat,69 cv,18 031 km,Cabrio,Automática,,89-XF-08,,Nacional
804,2017,Classe 1,Diesel,Usados,BMW,116 cv,30 069 km,Utilitário,Manual,,,Série 1,Nacional
805,2010,,Gasolina,Usados,Ford,330 cv,27 682 km,Coupé,Manual,,,,
806,2013,Classe 1,Diesel,Usados,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
807,2015,Classe 1,Diesel,Usados,Citroën,115 cv,125 322 km,Citadino,Manual,,,,
808,2017,,Eléctrico,Usados,Renault,92 cv,23 000 km,Pequeno citadino,Automática,Sim,,,
809,2015,Classe 1,Diesel,Usados,Audi,110 cv,83 000 km,Sedan,Manual,,,,Importado
810,2014,,Diesel,Usados,SEAT,110 cv,159 783 km,Carrinha,Manual,Sim,,,
811,2018,Classe 1,Diesel,Usados,Mercedes-Benz,194 cv,32 448 km,Coupé,Automática,Sim,,Classe E,
812,2017,Classe 1,Diesel,Usados,Mercedes-Benz,136 cv,140 000 km,Sedan,Manual,Sim,,Classe C,
813,2015,Classe 1,Diesel,Usados,Citroën,115 cv,109 000 km,Monovolume,Manual,,30-ZS-40,,
814,2019,Classe 1,Gasolina,Usados,SEAT,80 cv,11 934 km,Citadino,Manual,,,,Nacional
815,2015,Classe 1,Gasolina,Usados,Opel,90 cv,65 957 km,Pequeno citadino,Manual,Sim,,,
816,2017,Classe 1,Diesel,Usados,VW,115 cv,32 670 km,SUV / TT,Manual,,,,Nacional
817,2017,Classe 1,Diesel,Usados,Opel,120 cv,18 370 km,SUV / TT,Automática,Sim,,,
818,2017,Classe 1,Gasolina,Usados,Toyota,70 cv,37 572 km,Pequeno citadino,Manual,,,,Nacional
819,2015,,Eléctrico,Usados,Renault,88 cv,88 000 km,Pequeno citadino,Automática,Sim,,,
820,2015,,Eléctrico,Usados,Renault,88 cv,55 000 km,Pequeno citadino,Automática,Sim,,,
821,2018,Classe 1,Gasolina,Usados,VW,60 cv,34 492 km,Pequeno citadino,Manual,,,,Nacional
822,2018,Classe 1,Gasolina,Usados,VW,75 cv,31 950 km,Citadino,Manual,,,,Nacional
823,2017,Classe 1,Diesel,Usados,Toyota,90 cv,35 000 km,Citadino,Manual,,,,Nacional
824,2009,Classe 1,Gasolina,Usados,Audi,211 cv,34 836 km,Cabrio,Automática,,,,Nacional
825,2017,Classe 1,Diesel,Usados,Mercedes-Benz,136 cv,140 000 km,Sedan,Manual,Sim,,Classe C,
826,2008,,Diesel,Usados,Peugeot,80 cv,249 300 km,Carrinha,Manual,,,,
827,2016,Classe 1,Gasolina,Usados,Opel,105 cv,30 317 km,Carrinha,Manual,Sim,,,
828,2018,Classe 1,Gasolina,Usados,Fiat,69 cv,44 086 km,Pequeno citadino,Manual,,65-US-92,,Nacional
829,2017,Classe 1,Diesel,Usados,Citroën,100 cv,36 000 km,Utilitário,Automática,,,,Nacional
830,2013,Classe 1,Diesel,Usados,Mercedes-Benz,136 cv,225 000 km,Utilitário,Automática,,,Classe A,Nacional
831,2008,Classe 2,Diesel,Usados,BMW,286 cv,206 350 km,SUV / TT,Automática,Sim,,Série X,
832,2018,,Diesel,Usados,Fiat,95 cv,18 765 km,Carrinha,Manual,,88-VU-01,,Nacional
833,2016,,Diesel,Usados,Mercedes-Benz,109 cv,175 000 km,Utilitário,,,,Classe A,
834,2003,,Diesel,Usados,Rover,96 cv,268 000 km,Sedan,Manual,,46-73-VV,,Nacional
835,2012,Classe 1,Gasolina,Usados,Honda,90 cv,59 720 km,Citadino,Manual,Sim,,,
836,2009,Classe 1,Gasolina,Usados,Audi,211 cv,34 836 km,Cabrio,Automática,,,,Nacional
837,2015,Classe 1,Eléctrico,Usados,VW,116 cv,23 653 km,Utilitário,Automática,Sim,,,
838,2017,Classe 1,Diesel,Usados,Toyota,90 cv,35 000 km,Citadino,Manual,,,,Nacional
839,2008,Classe 2,Diesel,Usados,BMW,286 cv,206 350 km,SUV / TT,Automática,Sim,,Série X,
840,2008,,Diesel,Usados,Renault,65 cv,196 000 km,Pequeno citadino,Manual,,,,Nacional
