,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
15407,2017,Diesel,Usados,8060916277,Peugeot,34-XF-98,,100 cv,141 000 km,SUV / TT,Manual,Sim,,
15408,2009,Diesel,Usados,8074204378,SEAT,,,105 cv,160 000 km,Monovolume,,,,
15409,1989,Diesel,Usados,8073387584,Mercedes-Benz,,,71 cv,319 000 km,Sedan,Manual,Sim,Classe 1,
15410,2010,Diesel,Usados,8074205687,SEAT,,Nacional,75 cv,215 000 km,Citadino,Manual,,Classe 1,
15411,2015,Diesel,Usados,8072343778,Renault,,,110 cv,103 500 km,Carrinha,Manual,,Classe 1,
15412,2006,Diesel,Usados,8074049350,Opel,,Nacional,90 cv,243 000 km,Coupé,Manual,Sim,Classe 1,
15413,2016,Híbrido (Gasolina),Usados,8074210528,BMW,05-ZS-62,,224 cv,39 900 km,Monovolume,Automática,,Classe 1,Série 2
15414,2004,Gasolina,Usados,8074207539,Smart,,,82 cv,75 000 km,Pequeno citadino,Automática,,Classe 1,
15415,1975,Gasolina,Usados,8074211090,BMW,,Nacional,55 cv,115 896 km,Utilitário,Manual,,,
15416,2009,Diesel,Usados,8047575502,VW,,Nacional,140 cv,170 000 km,Coupé,Automática,,Classe 1,
15417,2012,Diesel,Usados,8074209049,Renault,,Importado,110 cv,226 500 km,Monovolume,Manual,,Classe 1,
15418,2016,Diesel,Usados,8074205083,Mercedes-Benz,,,110 cv,105 km,SUV / TT,Manual,,Classe 1,Classe GLA
15419,2017,Diesel,Usados,8060916277,Peugeot,34-XF-98,,100 cv,141 000 km,SUV / TT,Manual,Sim,,
15420,2006,Diesel,Usados,8071726545,Toyota,,Nacional,177 cv,112 500 km,Monovolume,Manual,,Classe 1,
15421,2015,Diesel,Usados,8073443026,Audi,,Nacional,110 cv,42 300 km,Utilitário,Manual,Sim,Classe 1,
15422,2016,Diesel,Usados,8072576004,BMW,,Importado,218 cv,90 000 km,Carrinha,Automática,,Classe 1,Série 5
15423,2015,Diesel,Usados,8072579313,Renault,,,160 cv,121 834 km,Monovolume,Automática,Sim,Classe 1,
15424,2014,Híbrido (Gasolina),Usados,8074211826,Porsche,,,416 cv,108 000 km,Sedan,Automática,Sim,,
15425,2010,Diesel,Usados,8074196147,Toyota,,Nacional,126 cv,210 920 km,Carrinha,Manual,Sim,Classe 1,
15426,1999,Gasolina,Usados,8074212032,Citroën,,Nacional,75 cv,167 900 km,Utilitário,Manual,,Classe 1,
15427,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
15428,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
15429,2011,Gasolina,Usados,8074209483,Toyota,,,69 cv,106 000 km,Citadino,,,,
15430,2005,Gasolina,Usados,8070855016,BMW,,,120 cv,160 000 km,Sedan,,,,Série 1
15431,2016,Gasolina,Usados,8072993097,Mitsubishi,,Nacional,80 cv,44 850 km,Citadino,Manual,,Classe 1,
15432,2007,Diesel,Usados,8074067111,Citroën,,,110 cv,270 000 km,Utilitário,,Sim,,
15433,2008,Gasolina,Usados,8064847773,Audi,,,272 cv,210 000 km,Coupé,Manual,,Classe 1,
15434,2015,Gasolina,Usados,8068383907,VW,,Importado,60 cv,90 168 km,Pequeno citadino,Manual,,Classe 1,
15435,2008,Diesel,Usados,8073441501,BMW,,,177 cv,215 900 km,Coupé,Manual,,Classe 1,
15436,2010,Diesel,Usados,8073450798,Mitsubishi,00-JR-64,Nacional,150 cv,153 500 km,SUV / TT,Manual,Sim,Classe 1,
15437,2014,Diesel,Usados,8075646848,Smart,,,71 cv,30 000 km,Utilitário,,,,
15438,2014,Diesel,Usados,8075646848,Smart,,,71 cv,30 000 km,Utilitário,,,,
15439,2014,Gasolina,Usados,8073449198,Fiat,,Nacional,69 cv,40 500 km,Utilitário,Manual,,Classe 1,
15440,2005,Diesel,Usados,8073450200,Mazda,,,68 cv,161 000 km,Citadino,Manual,,Classe 1,
15441,2015,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,,,204 cv,32 700 km,Sedan,,,,Classe E
15442,2005,Diesel,Usados,8073451058,Mazda,,Nacional,110 cv,222 km,Citadino,Manual,,Classe 1,
15443,2013,Eléctrico,Usados,8050772152,Tesla,10-XD-29,Importado,421 cv,77 000 km,Sedan,Automática,,Classe 1,
15444,2010,Gasolina,Usados,8049973783,Audi,,,86 cv,55 000 km,Citadino,Manual,,,
15445,2001,Gasolina,Usados,8059945034,BMW,,,321 cv,94 000 km,Cabrio,,Sim,,Série 3
15446,1997,Diesel,Usados,8066126713,Mercedes-Benz,,,177 cv,277 000 km,SUV / TT,,,,Classe G
15447,2005,Diesel,Usados,8074211939,Mercedes-Benz,,Nacional,150 cv,240 000 km,Coupé,Manual,Sim,Classe 1,Classe C
15448,2017,Eléctrico,Usados,8071329385,Tesla,,,517 cv,104 000 km,Sedan,,,,
15449,2015,Gasolina,Usados,8069301611,BMW,,,431 cv,81 000 km,Coupé,Automática,,,Série 4
15450,2011,Diesel,Usados,8073448167,Volvo,,,115 cv,164 000 km,Citadino,Manual,,,
15451,2015,Diesel,Usados,8062078490,Renault,,Nacional,110 cv,88 438 km,Carrinha,Manual,Sim,,
15452,1962,Gasolina,Usados,8073448733,Ford,,,70 cv,50 000 km,Citadino,,,Classe 1,
15453,1999,Diesel,Usados,8073450282,BMW,,,136 cv,390 km,Sedan,Manual,,,Série 3
15454,2008,Diesel,Usados,8066359449,BMW,,Nacional,177 cv,260 000 km,Coupé,Manual,,Classe 1,Série 1
15455,2015,Diesel,Usados,8074216708,Citroën,,,90 cv,267 847 km,Sedan,Manual,,Classe 1,
15456,2008,Diesel,Usados,8074214540,Dodge,,,140 cv,170 000 km,SUV / TT,Automática,,Classe 1,
15457,2014,Diesel,Usados,8050617411,BMW,,,218 cv,134 000 km,Coupé,Automática,,Classe 1,Série 2
15458,2015,Diesel,Usados,8062078490,Renault,,Nacional,110 cv,88 438 km,Carrinha,Manual,Sim,,
15459,2015,Diesel,Usados,8075697555,BMW,,Nacional,190 cv,60 000 km,Utilitário,Manual,,,Série 1
15460,2009,Gasolina,Usados,8073776914,Audi,36-SJ-81,,125 cv,114 000 km,Utilitário,Automática,,Classe 1,
15461,2017,Gasolina,Usados,8073449943,Smart,,,70 cv,12 000 km,Pequeno citadino,Automática,,,
15462,2014,Diesel,Usados,8073449142,Mercedes-Benz,,,258 cv,95 000 km,Carrinha,Automática,,,Classe CLS
15463,2015,Híbrido (Diesel),Usados,8075625004,Mercedes-Benz,,,204 cv,32 700 km,Sedan,,,,Classe E
15464,1990,Gasolina,Usados,8071821235,Renault,,,70 cv,73 000 km,Utilitário,,Sim,,
15465,1975,Gasolina,Usados,8042299142,VW,,,75 cv,57 943 km,Coupé,Manual,,,
15466,2016,Diesel,Usados,8069506909,SEAT,,,184 cv,118 100 km,Monovolume,Manual,,Classe 1,
15467,2011,Diesel,Usados,8073448715,Renault,,,88 cv,163 650 km,Carrinha,Manual,,Classe 1,
15468,2014,Diesel,Usados,8074213387,Land Rover,,,150 cv,125 000 km,SUV / TT,,,Classe 1,
15469,2001,Diesel,Usados,8069159252,Kia,,,136 cv,231 000 km,Monovolume,Manual,,Classe 1,
15470,2009,Diesel,Usados,8034042115,Audi,,Nacional,170 cv,80 000 km,Cabrio,,Sim,,
15471,2017,Gasolina,Usados,8069429646,BMW,,,370 cv,32 000 km,Coupé,,,,Série 2
15472,2015,Diesel,Usados,8075697555,BMW,,Nacional,190 cv,60 000 km,Utilitário,Manual,,,Série 1
15473,2014,Gasolina,Usados,8073956758,Ford,31-PH-20,Nacional,69 cv,38 800 km,Pequeno citadino,Manual,Sim,,
15474,2008,Gasolina,Usados,8074212678,VW,,,70 cv,69 600 km,Citadino,Manual,Sim,Classe 1,
15475,2011,Diesel,Usados,8074214355,Renault,,Nacional,110 cv,165 000 km,Coupé,Manual,,Classe 1,
15476,2018,Diesel,Usados,8075618774,MINI,,Nacional,116 cv,13 925 km,Citadino,Manual,,,
15477,2010,Diesel,Usados,8064538112,Citroën,,Nacional,115 cv,192 668 km,Sedan,Manual,,Classe 1,
15478,2014,Diesel,Usados,8075620838,SEAT,,,110 cv,159 783 km,Carrinha,Manual,Sim,,
15479,2011,Diesel,Usados,8075641587,Opel,,Nacional,95 cv,200 000 km,Monovolume,Manual,,Classe 1,
15480,2008,Diesel,Usados,8073454678,Mercedes-Benz,,Nacional,170 cv,220 000 km,Carrinha,Manual,,Classe 1,Classe C
15481,2008,Gasolina,Usados,8054756424,VW,,Nacional,220 cv,193 000 km,Coupé,Semi-automática,,,
15482,2005,Gasolina,Usados,8074118634,Smart,,Nacional,61 cv,125 000 km,Pequeno citadino,Automática,Sim,,
15483,2008,Diesel,Usados,8073620461,Fiat,,,105 cv,219 000 km,Utilitário,Manual,,,
15484,2013,Diesel,Usados,8044695055,Mercedes-Benz,,,170 cv,143 000 km,Carrinha,Manual,,Classe 1,Classe E
15485,2015,Diesel,Usados,8064015152,Mercedes-Benz,80-ZG-55,Importado,110 cv,117 000 km,Utilitário,Manual,,Classe 1,Classe A
15486,2015,Diesel,Usados,8071051001,Audi,11-QS-04,Nacional,150 cv,53 732 km,Sedan,Manual,,,
15487,2014,Diesel,Usados,8068813952,Audi,,,105 cv,129 500 km,Sedan,Manual,,Classe 1,
15488,2016,Diesel,Usados,8068962779,Peugeot,13-ZM-48,Importado,120 cv,109 000 km,SUV / TT,Manual,,,
15489,2010,Gasolina,Usados,8073457169,Ford,,Nacional,69 cv,65 000 km,Pequeno citadino,Manual,,Classe 1,
15490,2016,Diesel,Usados,8073456881,Porsche,,Importado,258 cv,68 500 km,SUV / TT,Automática,,Classe 1,
15491,2009,Gasolina,Usados,8074118138,Renault,,,75 cv,200 000 km,Citadino,,Sim,,
15492,2018,Diesel,Usados,8075618774,MINI,,Nacional,116 cv,13 925 km,Citadino,Manual,,,
15493,2014,Diesel,Usados,8072011993,MINI,,,90 cv,95 000 km,Citadino,Manual,Sim,,
15494,2014,Diesel,Usados,8075620838,SEAT,,,110 cv,159 783 km,Carrinha,Manual,Sim,,
15495,2018,Diesel,Usados,8074218000,DS,,,130 cv,23 000 km,SUV / TT,Manual,,,
15496,2017,Híbrido (Gasolina),Usados,8049060795,Mercedes-Benz,,Nacional,320 cv,120 000 km,SUV / TT,Automática,,Classe 1,Classe GLC
15497,2015,Diesel,Usados,8071051001,Audi,11-QS-04,Nacional,150 cv,53 732 km,Sedan,Manual,,,
15498,2016,Diesel,Usados,8073454871,Mercedes-Benz,,,109 cv,49 000 km,Carrinha,Manual,,,Classe CLA
15499,2010,Diesel,Usados,8073452069,BMW,80-PX-76,,143 cv,190 000 km,SUV / TT,Manual,,Classe 1,Série X
15500,2003,Gasolina,Usados,8063089000,Smart,,,82 cv,176 223 km,Cabrio,Automática,,,
15501,2011,Diesel,Usados,8059409103,Peugeot,,,115 cv,206 000 km,Carrinha,,,,
15502,2016,Gasolina,Usados,8073455951,Abarth,,,180 cv,28 500 km,Citadino,Manual,Sim,Classe 1,
15503,2003,GPL,Usados,8071001379,Saab,,Nacional,250 cv,263 000 km,Carrinha,Automática,,Classe 1,
15504,2011,Diesel,Usados,8073911214,Fiat,,Nacional,85 cv,103 000 km,Citadino,Manual,,Classe 1,
15505,2016,Diesel,Usados,8073451682,Mercedes-Benz,,,204 cv,72 km,Coupé,Automática,,Classe 1,Classe E
15506,2013,Diesel,Usados,8063480232,Ford,,,105 cv,165 000 km,Carrinha,,Sim,,
15507,2016,Diesel,Usados,8073451696,Mercedes-Benz,,,109 cv,31 200 km,Coupé,Manual,,,Classe CLA
15508,2019,Diesel,Usados,8067547533,Renault,,,90 cv,22 500 km,Citadino,Manual,Sim,Classe 1,
15509,2011,Diesel,Usados,8075641587,Opel,,Nacional,95 cv,200 000 km,Monovolume,Manual,,Classe 1,
15510,1973,Gasolina,Usados,8074218072,Datsun,,Nacional,55 cv,23 796 km,Utilitário,Manual,,,
15511,2007,Diesel,Usados,8074222265,Audi,,Nacional,180 cv,320 000 km,Carrinha,Automática,,Classe 1,
15512,2012,Diesel,Usados,8074218432,Audi,14-MP-96,Nacional,204 cv,217 000 km,Sedan,Automática,Sim,,
15513,2016,Diesel,Usados,8073451764,Toyota,,Nacional,90 cv,50 000 km,Utilitário,Manual,Sim,,
15514,2016,Diesel,Usados,8063514372,Mercedes-Benz,,,170 cv,99 000 km,Carrinha,Automática,,,Classe C
15515,2005,Gasolina,Usados,8059578280,Mercedes-Benz,,Nacional,163 cv,188 000 km,Cabrio,Manual,,Classe 1,Classe SLK
15516,2012,Diesel,Usados,8075632052,BMW,,,245 cv,155 km,SUV / TT,Automática,,,Série X
15517,2011,GPL,Usados,8074229875,Chevrolet,,,80 cv,150 000 km,Pequeno citadino,Manual,,Classe 1,
15518,2015,Diesel,Usados,8040654538,BMW,00-00-00,,150 cv,144 000 km,Coupé,Manual,,Classe 1,Série 4
15519,2007,Diesel,Usados,8074230865,Ford,08-ED-40,Nacional,110 cv,217 000 km,Monovolume,Manual,,Classe 1,
15520,2015,Diesel,Usados,8062058713,MINI,00-00-00,,95 cv,149 000 km,Citadino,Manual,,Classe 1,
15521,2016,Diesel,Usados,8069250229,Dacia,,Nacional,110 cv,271 890 km,Carrinha,Manual,Sim,Classe 1,
15522,2012,Diesel,Usados,8075632052,BMW,,,245 cv,155 km,SUV / TT,Automática,,,Série X
15523,2014,Diesel,Usados,8064453344,Audi,,Nacional,245 cv,92 880 km,Carrinha,Automática,,Classe 1,
15524,2005,Diesel,Usados,8074230535,BMW,,Importado,218 cv,210 000 km,Carrinha,Automática,,Classe 1,Série 5
15525,2014,Diesel,Usados,8074224011,Audi,,,245 cv,39 200 km,Cabrio,,,,
15526,2014,Diesel,Usados,8066204529,Mercedes-Benz,,Importado,136 cv,188 000 km,Carrinha,Manual,Sim,Classe 1,Classe C
15527,2014,Diesel,Usados,8074229991,BMW,,Nacional,313 cv,140 000 km,Sedan,Automática,,Classe 1,Série 6
15528,2013,Diesel,Usados,8073464059,Renault,,Nacional,130 cv,128 000 km,Monovolume,Manual,,Classe 1,
15529,2015,Diesel,Usados,8074401031,BMW,,Nacional,190 cv,118 400 km,Utilitário,Automática,,Classe 1,Série 4
15530,2016,Diesel,Usados,8069114448,Citroën,00-00-00,,120 cv,116 000 km,Monovolume,Automática,,Classe 1,
15531,2015,Diesel,Usados,8073386907,SEAT,,,150 cv,156 000 km,Monovolume,Automática,Sim,Classe 1,
15532,2018,Híbrido (Gasolina),Usados,8066250062,BMW,,Nacional,252 cv,29 500 km,Sedan,Automática,,Classe 1,série-5
15533,1989,Gasolina,Usados,8074227690,Honda,,,110 cv,215 000 km,Sedan,,,,
15534,2003,Gasolina,Usados,8074163997,Porsche,,,252 cv,152 000 km,Cabrio,,,,
15535,2018,Diesel,Usados,8073461100,Mercedes-Benz,,Nacional,116 cv,27 000 km,Utilitário,Automática,,Classe 1,Classe A
15536,2013,Híbrido (Gasolina),Usados,8069886021,Honda,,Nacional,88 cv,137 000 km,Citadino,Automática,Sim,Classe 1,
15537,2016,Gasolina,Usados,8069608933,SEAT,00-00-00,,95 cv,121 000 km,Utilitário,Manual,,Classe 1,
15538,2018,Diesel,Usados,8073458142,SEAT,,Nacional,95 cv,29 500 km,Citadino,Automática,,,
15539,2015,Diesel,Usados,8071996944,Jaguar,00-00-00,,163 cv,99 000 km,Sedan,Automática,,Classe 1,
15540,2016,Diesel,Usados,8071814356,Opel,00-00-00,,110 cv,111 000 km,Utilitário,Manual,,Classe 1,
15541,2003,Diesel,Usados,8073459194,Mercedes-Benz,,,143 cv,369 000 km,Coupé,Manual,,,Classe C
15542,2019,Eléctrico,Usados,8073458322,Renault,,,109 cv,9 995 km,Pequeno citadino,Automática,,Classe 1,
15543,2015,Gasolina,Usados,8037792530,Mercedes-Benz,,Nacional,367 cv,39 500 km,Sedan,Automática,,Classe 1,Classe C
15544,2014,Híbrido (Diesel),Usados,8069418876,Peugeot,,Nacional,200 cv,93 978 km,Sedan,Automática,,Classe 1,
15545,2015,Gasolina,Usados,8073095510,Smart,,,71 cv,33 400 km,Pequeno citadino,Manual,,Classe 1,
15546,2015,Diesel,Usados,8074401031,BMW,,Nacional,190 cv,118 400 km,Utilitário,Automática,,Classe 1,Série 4
15547,2017,Eléctrico,Usados,8073799694,Renault,,,92 cv,17 000 km,Pequeno citadino,Automática,Sim,,
15548,2000,Gasolina,Usados,8074226454,BMW,,,400 cv,173 000 km,Sedan,Manual,,,serie-m
15549,2005,Diesel,Usados,8073306186,Fiat,,,70 cv,135 000 km,Citadino,,,,
15550,2015,Diesel,Usados,8070994393,Toyota,00-00-00,,90 cv,136 000 km,Carrinha,Manual,,Classe 1,
15551,2015,Gasolina,Usados,8073095510,Smart,,,71 cv,33 400 km,Pequeno citadino,Manual,,Classe 1,
15552,2014,Diesel,Usados,8066204529,Mercedes-Benz,,Importado,136 cv,188 000 km,Carrinha,Manual,Sim,Classe 1,Classe C
15553,2015,Diesel,Usados,8069971254,Citroën,00-00-00,,92 cv,114 000 km,Citadino,Manual,,Classe 1,
15554,2009,Diesel,Usados,8073464236,Kia,,,115 cv,190 000 km,Carrinha,Manual,Sim,Classe 1,
15555,2009,Diesel,Usados,8059944126,Renault,,Nacional,95 cv,290 700 km,Carrinha,Manual,Sim,Classe 1,
15556,2011,Diesel,Usados,8073269001,Mercedes-Benz,,,113 cv,226 000 km,Carrinha,Manual,Sim,Classe 1,
15557,2016,Diesel,Usados,8074233922,BMW,,,116 cv,128 700 km,Utilitário,Manual,,Classe 1,Série 1
15558,2015,Diesel,Usados,8074232255,Mercedes-Benz,,,115 cv,111 000 km,Coupé,Manual,,Classe 1,Classe CLA
15559,2017,Gasolina,Usados,8059746685,Fiat,55-TF-15,Nacional,69 cv,67 947 km,Pequeno citadino,Manual,,Classe 1,
15560,2005,Gasolina,Usados,8074236104,Smart,,,82 cv,173 000 km,Cabrio,,,,
15561,2009,Gasolina,Usados,8053397314,Nissan,,Nacional,115 cv,117 060 km,SUV / TT,Manual,,Classe 1,
15562,2015,Diesel,Usados,8071834708,Peugeot,,,150 cv,150 000 km,Utilitário,Automática,,,
15563,2011,Gasolina,Usados,8065632475,Peugeot,,,200 cv,99 850 km,Coupé,,,,
15564,2016,Diesel,Usados,8062410999,Renault,,,110 cv,168 323 km,Monovolume,Manual,Sim,Classe 1,
15565,2014,Diesel,Usados,8028622005,Volvo,,Nacional,181 cv,185 000 km,Carrinha,Manual,Sim,,
15566,2008,Diesel,Usados,8071609317,VW,,,140 cv,198 000 km,SUV / TT,,,,
15567,2014,Diesel,Usados,8072673853,Volvo,,Nacional,190 cv,55 000 km,Sedan,Automática,,,
15568,2015,Diesel,Usados,8073988344,Renault,,Nacional,90 cv,66 000 km,Citadino,Manual,,Classe 1,
15569,2016,Diesel,Usados,8070399822,Citroën,,Nacional,100 cv,65 000 km,Utilitário,Manual,,Classe 1,
15570,2018,Híbrido (Gasolina),Usados,8075645694,Toyota,,Importado,122 cv,63 754 km,SUV / TT,Automática,,,
15571,2012,Diesel,Usados,8074233781,Audi,,,77 cv,88 700 km,Citadino,,,,
15572,2011,Diesel,Usados,8065342457,Audi,,,170 cv,205 000 km,Coupé,Manual,,Classe 1,
15573,2018,Híbrido (Gasolina),Usados,8075645694,Toyota,,Importado,122 cv,63 754 km,SUV / TT,Automática,,,
15574,2008,Diesel,Usados,8074678905,Skoda,,Nacional,75 cv,200 000 km,Carrinha,Manual,Sim,Classe 1,
15575,2013,Diesel,Usados,8074233471,Ford,,,115 cv,157 670 km,Carrinha,,,,
15576,2013,Diesel,Usados,8074230968,Citroën,,,120 cv,150 000 km,Monovolume,,,,
15577,2002,Diesel,Usados,8066499104,Audi,,Nacional,180 cv,220 000 km,Carrinha,Manual,,Classe 1,
15578,2003,Gasolina,Usados,8074233258,VW,,,75 cv,153 431 km,Utilitário,,Sim,,
15579,2014,Diesel,Usados,8028622005,Volvo,,Nacional,181 cv,185 000 km,Carrinha,Manual,Sim,,
15580,2005,Diesel,Usados,8075777559,Mercedes-Benz,,,150 cv,260 000 km,Carrinha,Automática,Sim,Classe 1,Classe E
15581,2005,Diesel,Usados,8075777559,Mercedes-Benz,,,150 cv,260 000 km,Carrinha,Automática,Sim,Classe 1,Classe E
15582,2009,Gasolina,Usados,8053397314,Nissan,,Nacional,115 cv,117 060 km,SUV / TT,Manual,,Classe 1,
15583,2012,Diesel,Usados,8073473922,BMW,,Nacional,184 cv,101 000 km,Carrinha,Manual,,Classe 1,Série 3
15584,2015,Diesel,Usados,8074233633,Nissan,,Nacional,130 cv,47 500 km,SUV / TT,Manual,Sim,Classe 1,
15585,2008,Diesel,Usados,8074233465,Mazda,,Nacional,140 cv,181 000 km,Carrinha,Manual,,Classe 1,
15586,2008,Diesel,Usados,8073472621,BMW,,Nacional,143 cv,234 267 km,Carrinha,Manual,Sim,Classe 1,Série 3
15587,2013,Diesel,Usados,8074231826,Opel,,Nacional,130 cv,140 000 km,Carrinha,Manual,,Classe 1,
15588,2016,Diesel,Usados,8064881927,Kia,89-XJ-86,Importado,140 cv,68 000 km,Sedan,Automática,,Classe 1,
15589,2000,Diesel,Usados,8072288267,Jeep,,,140 cv,192 039 km,SUV / TT,Automática,Sim,Classe 2,
15590,2000,Gasolina,Usados,8074227208,BMW,,Nacional,105 cv,183 000 km,Coupé,Manual,,Classe 1,Série 3
15591,2015,Híbrido (Gasolina),Usados,8061170703,Porsche,,,416 cv,191 000 km,SUV / TT,,Sim,,
15592,2019,Diesel,Usados,8074236252,Mercedes-Benz,,,116 cv,14 500 km,Sedan,Automática,,,
15593,2007,Diesel,Usados,8073469323,Mitsubishi,,,170 cv,330 000 km,SUV / TT,Automática,,,
15594,2015,Diesel,Usados,8073470626,Renault,,,90 cv,159 609 km,Citadino,Manual,,,
15595,2013,Diesel,Usados,8063926672,Opel,,,125 cv,188 000 km,Carrinha,Manual,,Classe 1,
15596,2017,Gasolina,Usados,8075708522,Ford,05-TV-42,Nacional,125 cv,35 000 km,Utilitário,Manual,,Classe 1,
15597,2017,Diesel,Usados,8074302764,Peugeot,,,100 cv,48 000 km,SUV / TT,Automática,,Classe 1,
15598,2017,Gasolina,Usados,8075708522,Ford,05-TV-42,Nacional,125 cv,35 000 km,Utilitário,Manual,,Classe 1,
15599,2010,Diesel,Usados,8074971809,Peugeot,,,112 cv,200 000 km,Monovolume,,,,
15600,2009,Gasolina,Usados,8073959393,Audi,,Nacional,265 cv,87 000 km,Sedan,Manual,,,
15601,2018,Diesel,Usados,8070122828,BMW,,,400 cv,16 000 km,SUV / TT,Automática,,,Série X
15602,2008,Diesel,Usados,8062603264,Mercedes-Benz,00-00-00,,136 cv,220 000 km,Carrinha,Manual,,Classe 1,Classe C
15603,2017,Diesel,Usados,8073832768,Peugeot,,Nacional,100 cv,47 000 km,SUV / TT,Manual,Sim,Classe 1,
15604,2011,Diesel,Usados,8074682674,BMW,00-00-00,Nacional,184 cv,187 000 km,Carrinha,Automática,,Classe 1,Série 5
15605,2019,Diesel,Usados,8074469544,Peugeot,53-XP-52,Nacional,102 cv,22 000 km,Citadino,Manual,,,
15606,2005,Gasolina,Usados,8039473637,Hyundai,,Nacional,60 cv,79 000 km,Citadino,Manual,,Classe 1,
15607,2002,Diesel,Usados,8071659359,Smart,,,41 cv,210 000 km,Pequeno citadino,Automática,,Classe 1,
15608,2019,Diesel,Usados,8074469553,Peugeot,16-XT-60,Nacional,130 cv,10 300 km,Carrinha,Automática,,,
15609,2019,Diesel,Usados,8074469549,Peugeot,01-XQ-39,Nacional,102 cv,8 067 km,SUV / TT,Manual,,,
15610,2002,Diesel,Usados,8073515937,Renault,,Nacional,100 cv,260 000 km,Monovolume,Manual,,Classe 1,
15611,2011,Diesel,Usados,8061520309,VW,,,105 cv,205 000 km,Utilitário,Automática,,Classe 1,
15612,2015,Diesel,Usados,8074239735,Opel,16-QC-78,Nacional,95 cv,129 900 km,Utilitário,Manual,,,
15613,1971,Gasolina,Usados,8050846899,Mercedes-Benz,,,200 cv,182 000 km,Cabrio,Automática,,,Classe SL
15614,2005,Diesel,Usados,8056505919,Mercedes-Benz,,Nacional,170 cv,160 000 km,Coupé,Automática,,Classe 1,Classe CLK
15615,2019,Diesel,Usados,8073810292,Mercedes-Benz,,,194 cv,24 986 km,Carrinha,Automática,,,Classe C
15616,2008,Diesel,Usados,8063157639,Opel,01-FN-89,Nacional,125 cv,173 900 km,Utilitário,Manual,,Classe 1,
15617,2005,Diesel,Usados,8056505919,Mercedes-Benz,,Nacional,170 cv,160 000 km,Coupé,Automática,,Classe 1,Classe CLK
15618,2011,Diesel,Usados,8075680143,Mercedes-Benz,,,110 cv,181 200 km,Utilitário,,,,
15619,2013,Diesel,Usados,8072091988,Mercedes-Benz,,,136 cv,188 000 km,Utilitário,Manual,,Classe 1,Classe A
15620,2017,Diesel,Usados,8074302764,Peugeot,,,100 cv,48 000 km,SUV / TT,Automática,,Classe 1,
15621,2005,Diesel,Usados,8073516771,Renault,,Nacional,105 cv,169 000 km,Utilitário,Manual,,Classe 1,
15622,2016,Gasolina,Usados,8074266338,Citroën,,Nacional,110 cv,85 500 km,Utilitário,Manual,,Classe 1,
15623,2016,Diesel,Usados,8074265559,Land Rover,,,180 cv,120 000 km,SUV / TT,Automática,,Classe 2,
15624,2016,Diesel,Usados,8074267665,VW,,,110 cv,185 000 km,Carrinha,Manual,Sim,,
15625,2011,Diesel,Usados,8075680143,Mercedes-Benz,,,110 cv,181 200 km,Utilitário,,,,
15626,2018,Diesel,Usados,8052364859,BMW,18-VM-03,Nacional,190 cv,22 000 km,Sedan,Automática,,Classe 1,Série 4
15627,2013,Diesel,Usados,8074214270,Opel,,,90 cv,218 000 km,Monovolume,Manual,Sim,Classe 2,
15628,2010,Gasolina,Usados,8073514953,Peugeot,,,68 cv,92 300 km,Pequeno citadino,Manual,,Classe 1,
15629,2002,Gasolina,Usados,8066205851,VW,,,50 cv,144 519 km,Pequeno citadino,,,,
15630,2006,Diesel,Usados,8062817105,Mercedes-Benz,00-00-00,,224 cv,199 980 km,SUV / TT,Automática,Sim,Classe 1,Classe M
15631,2002,Diesel,Usados,8063475163,Mercedes-Benz,,,204 cv,240 000 km,Sedan,Automática,,Classe 1,Classe S
15632,2010,Diesel,Usados,8064353149,Renault,,,110 cv,153 000 km,Carrinha,,,,
15633,2018,Gasolina,Usados,8074239263,Smart,,Nacional,90 cv,17 000 km,Pequeno citadino,Automática,,Classe 1,
15634,2012,Diesel,Usados,8074266537,BMW,,,135 cv,218 000 km,SUV / TT,,,,Série X
15635,2013,Diesel,Usados,8068694568,Jaguar,00-00-00,,200 cv,98 000 km,Sedan,Automática,,Classe 1,
15636,2019,Diesel,Usados,8075629386,Nissan,,Nacional,115 cv,30 975 km,SUV / TT,Manual,,Classe 1,
15637,2011,Diesel,Usados,8074278338,Mercedes-Benz,,Importado,134 cv,375 000 km,Sedan,Automática,Sim,Classe 1,Classe E
15638,2013,Gasolina,Usados,8074278901,Smart,,Nacional,71 cv,74 000 km,Pequeno citadino,Automática,,Classe 1,
15639,2015,Gasolina,Usados,8073518927,Fiat,,Importado,86 cv,55 000 km,Pequeno citadino,Manual,,Classe 1,
15640,2019,Diesel,Usados,8074268661,Citroën,,,100 cv,19 600 km,Citadino,,,,
15641,2013,Gasolina,Usados,8073516585,Ford,,Importado,125 cv,10 800 km,Monovolume,Manual,,Classe 1,
15642,2013,Diesel,Usados,8072926213,Opel,,Nacional,95 cv,203 000 km,Citadino,Manual,,Classe 1,
