,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
2083,2017,Diesel,Usados,8066155490,Peugeot,,Nacional,180 cv,47 000 km,SUV / TT,Automática,Sim,Classe 1,
2084,2019,Gasolina,Usados,8075482287,Renault,85-XM-61,,115 cv,14 623 km,Carrinha,Manual,Sim,,
2085,2018,Diesel,Usados,8075482361,Renault,21-UX-88,,90 cv,29 038 km,SUV / TT,Manual,Sim,,
2086,2011,Diesel,Usados,8075482431,BMW,,,177 cv,178 000 km,Cabrio,Manual,Sim,,Série 3
2087,2019,Gasolina,Usados,8075482427,Renault,77-XD-07,,90 cv,13 810 km,SUV / TT,Manual,Sim,,
2088,2010,Diesel,Usados,8074126812,Fiat,,Nacional,90 cv,125 000 km,Monovolume,Manual,,Classe 1,
2089,2017,Gasolina,Usados,8075482329,Renault,99-ST-09,,90 cv,43 000 km,Citadino,Manual,Sim,,
2090,2019,Gasolina,Usados,8075482367,Renault,69-XD-55,,90 cv,19 148 km,SUV / TT,Manual,Sim,,
2091,2019,Gasolina,Usados,8075482407,Renault,86-XM-24,,115 cv,15 324 km,Carrinha,Manual,Sim,,
2092,2019,Gasolina,Usados,8075482386,Renault,48-XR-49,,90 cv,14 837 km,Citadino,Manual,Sim,,
2093,2018,Gasolina,Usados,8071221709,Fiat,,Nacional,69 cv,49 622 km,Pequeno citadino,Manual,,Classe 1,
2094,2006,Gasolina,Usados,8074126240,Chevrolet,,Nacional,72 cv,140 000 km,Citadino,Manual,,Classe 1,
2095,2011,Diesel,Usados,8075459776,BMW,,,115 cv,189 820 km,Carrinha,Manual,Sim,,Série 3
2096,2019,Gasolina,Usados,8075482415,Renault,36-XH-40,,70 cv,18 184 km,Pequeno citadino,Manual,Sim,,
2097,2009,Diesel,Usados,8051455842,Aixam,,Nacional,6 cv,30 000 km,Pequeno citadino,Automática,,Classe 1,
2098,2019,Diesel,Usados,8075482309,Renault,92-XN-86,,90 cv,18 900 km,SUV / TT,Manual,Sim,,
2099,2019,Gasolina,Usados,8075482449,Renault,72-XD-81,,90 cv,22 252 km,SUV / TT,Manual,Sim,,
2100,2019,Diesel,Usados,8075482402,Renault,69-XG-62,,115 cv,17 158 km,Carrinha,Manual,Sim,,
2101,2011,Diesel,Usados,8075482160,Peugeot,,,110 cv,198 000 km,Carrinha,Automática,,Classe 1,
2102,2019,Diesel,Usados,8075482338,Renault,81-XJ-65,,115 cv,19 256 km,Sedan,Manual,Sim,,
2103,2011,Diesel,Usados,8072251465,Opel,,Nacional,75 cv,175 000 km,Citadino,Manual,,Classe 1,
2104,2019,Gasolina,Usados,8075482394,Renault,34-XJ-08,,90 cv,17 204 km,Citadino,Manual,Sim,,
2105,2018,Diesel,Usados,8075482345,Renault,95-UL-76,,110 cv,62 870 km,Carrinha,Manual,Sim,,
2106,2017,Gasolina,Usados,8075708522,Ford,05-TV-42,Nacional,125 cv,35 000 km,Utilitário,Manual,,Classe 1,
2107,2019,Diesel,Usados,8075482264,Renault,31-XD-63,,115 cv,24 023 km,Carrinha,Manual,Sim,,
2108,2019,Gasolina,Usados,8075482319,Renault,69-XG-77,,140 cv,22 901 km,Sedan,Manual,Sim,,
2109,2012,Diesel,Usados,8036709565,BMW,,,143 cv,190 000 km,Carrinha,Manual,,Classe 1,Série 3
2110,2019,Gasolina,Usados,8075482439,Renault,71-XD-68,,90 cv,21 168 km,SUV / TT,Manual,Sim,,
2111,2011,Diesel,Usados,8075459776,BMW,,,115 cv,189 820 km,Carrinha,Manual,Sim,,Série 3
2112,2019,Diesel,Novos,8075482383,Opel,82-ZJ-86,Nacional,110 cv,3 200 km,Utilitário,Manual,,Classe 1,
2113,2017,Diesel,Usados,8066155490,Peugeot,,Nacional,180 cv,47 000 km,SUV / TT,Automática,Sim,Classe 1,
2114,2019,Gasolina,Usados,8075482373,Renault,80-XJ-91,,115 cv,16 482 km,Carrinha,Manual,Sim,,
2115,2006,Diesel,Usados,8062898040,Fiat,,Nacional,90 cv,129 000 km,Citadino,Automática,,Classe 1,
2116,2019,Gasolina,Usados,8075482282,Renault,85-XM-34,,140 cv,16 413 km,Sedan,Manual,Sim,,
2117,2019,Gasolina,Usados,8075482296,Renault,77-XD-11,,90 cv,21 026 km,SUV / TT,Manual,Sim,,
2118,2018,Diesel,Usados,8055348749,Volvo,,Nacional,150 cv,16 000 km,Utilitário,Manual,,Classe 1,
2119,2018,Diesel,Usados,8075482275,Renault,25-VH-24,,110 cv,33 545 km,SUV / TT,Manual,Sim,,
2120,2011,Diesel,Usados,8075482472,Volvo,,,115 cv,223 000 km,Sedan,,,,
2121,2020,Gasolina,Usados,8075603775,Renault,,Nacional,100 cv,700 km,SUV / TT,Manual,,Classe 1,
2122,2019,Diesel,Usados,8075482703,Renault,97-XR-81,,90 cv,20 009 km,SUV / TT,Manual,Sim,,
2123,2019,Gasolina,Usados,8075482473,Renault,85-XM-10,,115 cv,15 936 km,Carrinha,Manual,Sim,,
2124,2019,Gasolina,Usados,8075482456,Renault,75-XD-65,,90 cv,21 083 km,SUV / TT,Manual,Sim,,
2125,2015,Diesel,Usados,8072520859,Peugeot,,,92 cv,123 297 km,Citadino,Manual,,,
2126,2013,Diesel,Usados,8075765707,Mercedes-Benz,,,90 cv,173 500 km,Carrinha,,,,
2127,2013,Diesel,Usados,8066028692,Kia,,Nacional,90 cv,110 300 km,Carrinha,Manual,,Classe 1,
2128,2011,Gasolina,Usados,8059114970,Honda,,Nacional,10 cv,116 000 km,Citadino,Manual,,,
2129,2019,Gasolina,Usados,8075482483,Renault,42-XH-97,,70 cv,15 456 km,Pequeno citadino,Manual,Sim,,
2130,2019,Diesel,Usados,8075482515,Dacia,35-XB-91,,115 cv,13 158 km,Carrinha,Manual,Sim,,
2131,2015,Diesel,Usados,8071763528,BMW,00-00-00,,190 cv,169 905 km,Carrinha,Automática,,Classe 1,Série 5
2132,2017,Diesel,Usados,8073388297,Mercedes-Benz,,Nacional,194 cv,36 000 km,Sedan,,Sim,Classe 1,Classe E
2133,2017,Diesel,Usados,8073388297,Mercedes-Benz,,Nacional,194 cv,36 000 km,Sedan,,Sim,Classe 1,Classe E
2134,2013,Gasolina,Usados,8073865169,Citroën,,Nacional,82 cv,101 453 km,Citadino,Manual,,Classe 1,
2135,2014,Gasolina,Usados,8067144193,Opel,,Nacional,70 cv,84 000 km,Pequeno citadino,Manual,,Classe 1,
2136,2018,Diesel,Usados,8075482788,Renault,25-VH-27,,110 cv,19 494 km,SUV / TT,Manual,Sim,,
2137,2018,Diesel,Usados,8075482502,Renault,02-UL-98,,110 cv,43 734 km,Monovolume,Manual,Sim,,
2138,2019,Diesel,Usados,8075482731,Renault,34-ZE-81,,115 cv,13 500 km,SUV / TT,Manual,Sim,,
2139,2011,Gasolina,Usados,8059114970,Honda,,Nacional,10 cv,116 000 km,Citadino,Manual,,,
2140,2018,Diesel,Usados,8075482673,Renault,56-UQ-71,,90 cv,41 061 km,Citadino,Manual,Sim,,
2141,2015,Diesel,Usados,8072921042,Renault,,Nacional,90 cv,111 070 km,Carrinha,Manual,Sim,Classe 1,
2142,2015,Diesel,Usados,8069831458,BMW,,,116 cv,93 300 km,Monovolume,Manual,,,Série 2
2143,2019,Gasolina,Usados,8075482600,Renault,87-XH-00,,90 cv,19 893 km,Carrinha,Manual,Sim,,
2144,2011,Diesel,Usados,8066753247,Kia,,Nacional,197 cv,112 900 km,SUV / TT,Manual,,,
2145,2019,Gasolina,Usados,8075482463,Renault,76-XD-34,,90 cv,21 438 km,SUV / TT,Manual,Sim,,
2146,2018,Diesel,Usados,8075482806,Renault,23-UX-28,,110 cv,37 106 km,Sedan,Manual,Sim,,
2147,2011,Diesel,Usados,8061975364,Fiat,,Nacional,85 cv,121 791 km,Citadino,Manual,,,
2148,2014,Gasolina,Usados,8072520747,Ford,,,80 cv,137 412 km,Citadino,Manual,,,
2149,2018,Gasolina,Usados,8075482638,Renault,06-VQ-72,,90 cv,21 921 km,SUV / TT,Manual,Sim,,
2150,2011,Diesel,Usados,8066949597,Renault,,Nacional,110 cv,136 282 km,Coupé,Manual,Sim,Classe 1,
2151,2017,Gasolina,Usados,8075482750,Renault,91-SX-27,,70 cv,59 370 km,Pequeno citadino,Manual,Sim,,
2152,2016,Gasolina,Usados,8072565320,Opel,,,75 cv,89 272 km,Citadino,Manual,,,
2153,2019,Diesel,Usados,8075482563,Renault,72-XG-98,,115 cv,20 298 km,Carrinha,Manual,Sim,,
2154,2013,Diesel,Usados,8075765707,Mercedes-Benz,,,90 cv,173 500 km,Carrinha,,,,
2155,2018,Diesel,Usados,8075482770,Renault,68-UR-96,,90 cv,55 143 km,Citadino,Manual,Sim,,
2156,2016,Diesel,Usados,8075482538,Renault,89-RI-74,,125 cv,90 104 km,Monovolume,Manual,Sim,,
2157,2009,Diesel,Usados,8075344485,Subaru,00-00-00,,150 cv,205 886 km,Carrinha,Manual,Sim,Classe 1,
2158,2020,Gasolina,Usados,8075603775,Renault,,Nacional,100 cv,700 km,SUV / TT,Manual,,Classe 1,
2159,2006,Gasolina,Usados,8071481051,MINI,,Nacional,116 cv,129 918 km,Citadino,Manual,,Classe 1,
2160,2016,Gasolina,Usados,8075615252,Smart,,,90 cv,43 600 km,Pequeno citadino,,Sim,,
2161,2014,Diesel,Usados,8075482136,Opel,79-PG-05,Nacional,140 cv,147 544 km,Carrinha,Manual,,,
2162,2002,Diesel,Usados,8072702454,BMW,,Nacional,150 cv,217 000 km,Carrinha,Automática,Sim,Classe 1,Série 3
2163,2014,Diesel,Usados,8075482304,SEAT,,,110 cv,57 000 km,Carrinha,Manual,,Classe 1,
2164,2019,Gasolina,Usados,8075599190,Renault,,Nacional,90 cv,19 500 km,Citadino,Manual,,Classe 1,
2165,2014,Gasolina,Usados,8065756112,Opel,,,70 cv,117 723 km,Pequeno citadino,Manual,,,
2166,2016,Gasolina,Usados,8075615252,Smart,,,90 cv,43 600 km,Pequeno citadino,,Sim,,
2167,1999,Diesel,Usados,8075483522,Jeep,,,138 cv,215 000 km,SUV / TT,Automática,,,
2168,2011,Diesel,Usados,8073983049,Volvo,,,110 cv,105 939 km,Coupé,Manual,,Classe 1,
2169,2019,Gasolina,Usados,8071198784,Peugeot,,Nacional,72 cv,7 000 km,Pequeno citadino,,Sim,Classe 1,
2170,2018,Diesel,Usados,8074267521,Peugeot,,Nacional,130 cv,42 000 km,Carrinha,,Sim,Classe 1,
2171,2016,Diesel,Usados,8074267814,Peugeot,,Nacional,120 cv,132 000 km,Carrinha,,Sim,Classe 1,
2172,2014,Diesel,Usados,8066324170,Peugeot,,Nacional,115 cv,158 000 km,SUV / TT,Automática,Sim,Classe 1,
