,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
427,2009,Classe 1,Gasolina,Usados,8075610412,Audi,211 cv,34 836 km,Cabrio,Automática,,,,Nacional
428,2013,Classe 1,Diesel,Usados,8051715052,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
429,2019,Classe 1,Diesel,Usados,8075586393,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
430,2019,Classe 1,Diesel,Usados,8075522344,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
431,2010,Classe 1,Diesel,Usados,8070359567,Audi,170 cv,164 000 km,SUV / TT,Automática,Sim,77-LD-43,,Nacional
432,2015,Classe 1,Diesel,Usados,8072563932,Audi,110 cv,123 000 km,Sedan,Manual,,,,Nacional
433,2011,,Diesel,Usados,8033851850,Peugeot,115 cv,181 000 km,Carrinha,Automática,,,,
434,2014,Classe 1,Híbrido (Diesel),Usados,8072039455,Volvo,285 cv,238 102 km,Carrinha,Automática,,,,Importado
435,2007,,Diesel,Usados,8075683386,Ford,115 cv,200 000 km,Monovolume,Manual,Sim,,,
436,2015,,Diesel,Usados,8075682905,Fiat,120 cv,100 000 km,SUV / TT,Manual,,,,
437,2018,,Diesel,Usados,8074228513,Audi,116 cv,42 642 km,Utilitário,Manual,Sim,90-UV-52,,Nacional
438,2017,Classe 1,Diesel,Usados,8073980229,Peugeot,120 cv,78 000 km,Carrinha,Manual,,,,Nacional
439,2019,Classe 1,Diesel,Usados,8071995332,Peugeot,102 cv,24 000 km,Carrinha,Manual,,,,Nacional
440,2015,Classe 1,Diesel,Usados,8069183844,Renault,90 cv,115 000 km,Citadino,Manual,Sim,57-ZL-51,,
441,2018,,Diesel,Usados,8070334783,Peugeot,130 cv,43 000 km,Carrinha,Manual,Sim,18-VQ-03,,Nacional
442,2018,Classe 1,Gasolina,Usados,8072480648,Porsche,420 cv,4 200 km,Coupé,Automática,Sim,,911 (Todos),Nacional
443,2003,,Diesel,Usados,8074856280,Peugeot,90 cv,245 000 km,Citadino,,,,,
444,2014,Classe 1,Diesel,Usados,8073637527,Volvo,181 cv,180 000 km,Carrinha,Automática,Sim,98-PG-62,,Nacional
445,2016,Classe 1,Diesel,Usados,8070754492,Skoda,90 cv,70 362 km,Citadino,Manual,Sim,20-RA-95,,Nacional
