,Ano de Registo,Combustível,Condição,ID,Marca,Origem,Potência,Quilómetros,Segmento,Série,Tipo de Caixa
10090,2003,Gasolina,Usados,8073117906,Peugeot,Nacional,60,167000,Citadino,,Manual
10091,2014,Diesel,Usados,8066246822,Mercedes-Benz,,136,180000,Carrinha,Classe C,Manual
10092,2019,Diesel,Usados,8074211470,Peugeot,,163,95000,Sedan,,Automática
10093,2015,Diesel,Usados,8063542627,VW,Importado,120,199000,Carrinha,,Automática
10094,2017,Gasolina,Usados,8073012644,Smart,Nacional,90,20100,Cabrio,,Automática
10095,2007,Diesel,Usados,8073675855,Renault,Nacional,150,241000,Carrinha,,Manual
10096,2013,Diesel,Usados,8057089404,BMW,Nacional,313,95500,Sedan,Série 6,Automática
10097,2015,Gasolina,Usados,8068132008,Audi,,560,43800,Carrinha,,Automática
10098,2016,Diesel,Usados,8061318060,Alfa Romeo,Nacional,180,77100,Sedan,,Automática
10099,2017,Diesel,Usados,8065838123,Mercedes-Benz,Nacional,194,54000,Coupé,Classe E,Automática
10100,2014,Diesel,Usados,8073024528,SEAT,,110,184282,Carrinha,,Manual
10101,2015,Diesel,Usados,8053493899,Audi,Nacional,320,185000,Sedan,,Automática
10102,2004,Diesel,Usados,8072923480,Mercedes-Benz,,82,310000,Citadino,Classe A,Manual
10103,2015,Diesel,Usados,8067433952,Renault,,110,157877,Carrinha,,Manual
10104,2018,Diesel,Usados,8060292651,BMW,,231,59100,Sedan,Série 5,Automática
10105,2018,Gasolina,Usados,8058704652,Mercedes-Benz,,520,7750,Coupé,,Automática
10106,2010,Diesel,Usados,8071008671,MINI,,90,198000,Citadino,,Manual
10107,2009,Gasolina,Usados,8071007256,Fiat,,70,143797,Citadino,,Manual
10108,2013,Diesel,Usados,8008541076,Renault,,110,135000,Carrinha,,Manual
10109,1996,Gasolina,Usados,8060745129,Renault,,147,97800,Citadino,,Manual
10110,2013,Diesel,Usados,8001283802,Opel,,95,130000,Carrinha,,Manual
10111,2018,Diesel,Usados,8055952051,BMW,Nacional,190,34000,Carrinha,Série 5,Automática
10112,2014,Diesel,Usados,8058281229,Renault,,90,115000,Carrinha,,Manual
10113,2012,Gasolina,Usados,8060289121,Audi,,450,124700,Carrinha,,Automática
10114,2015,Diesel,Usados,8069592959,VW,,110,113181,Utilitário,,Manual
10115,2012,Diesel,Usados,8000564864,Renault,,110,130000,Sedan,,Manual
10116,2011,Diesel,Usados,8062975850,Renault,,110,237017,Coupé,,Manual
10117,2014,Diesel,Usados,8060656446,Skoda,,105,148852,Carrinha,,Manual
10118,2019,Gasolina,Usados,8072316627,Citroën,,82,10546,Citadino,,Manual
10119,2013,Diesel,Usados,8041186659,Volvo,,116,170000,Carrinha,,Automática
10120,2016,Gasolina,Usados,8063251402,Lexus,,245,26000,Coupé,,Automática
10121,2014,Diesel,Usados,8060746053,Mitsubishi,Nacional,128,92100,SUV / TT,,Manual
10122,2018,Diesel,Usados,8066074308,BMW,,116,48421,Utilitário,Série 1,Manual
10123,2019,Gasolina,Usados,8075478936,Citroën,Nacional,72,20801,Pequeno citadino,,Automática
10124,2013,Gasolina,Usados,8066256067,Renault,Nacional,265,3900,Coupé,,Manual
10125,2014,Diesel,Usados,8062795350,BMW,,190,99000,Carrinha,Série 5,Automática
10126,2011,Diesel,Usados,8075479033,Skoda,,105,193525,Carrinha,,Manual
10127,2011,Diesel,Usados,8070714048,MINI,Importado,112,148000,Utilitário,,Manual
10128,2012,Gasolina,Usados,8039859357,Porsche,Nacional,400,79700,Coupé,911 (Todos),Automática
10129,2012,Diesel,Usados,8060312920,Mercedes-Benz,Nacional,204,208600,Carrinha,Classe E,Manual
10130,2016,Gasolina,Usados,8053497503,Peugeot,,208,24100,Citadino,,Manual
10131,2018,Diesel,Usados,8065838567,VW,Nacional,150,29800,SUV / TT,,Automática
10132,2016,Diesel,Usados,8060292078,BMW,Nacional,190,139000,Sedan,Série 4,Automática
10133,2009,Gasolina,Usados,8070738362,Nissan,Nacional,80,152000,Citadino,,Manual
10134,2014,Diesel,Usados,8066350575,Mercedes-Benz,Nacional,252,88400,Sedan,Classe CLS,Automática
10135,2002,Diesel,Usados,8049975942,Toyota,Nacional,116,296589,SUV / TT,,Manual
10136,2013,Gasolina,Usados,8070739317,Renault,Nacional,90,126000,Citadino,,Manual
10137,2003,Gasolina,Usados,8059228131,BMW,Nacional,343,96000,Coupé,Série 3,Automática
10138,2014,Gasolina,Usados,8057966250,Porsche,,350,66600,Coupé,911 (Todos),Manual
10139,2017,Diesel,Usados,8067270995,Mercedes-Benz,Importado,109,169000,Carrinha,Classe CLA,Automática
10140,2014,Diesel,Usados,8066258426,BMW,Nacional,313,148900,Coupé,Série 6,Automática
10141,2016,Diesel,Usados,8066250199,MINI,Nacional,116,49200,Citadino,,Manual
10142,2013,Diesel,Usados,8070713539,Opel,Nacional,165,107000,Monovolume,,Manual
